d,p,
"2011-04-07,四",1004.41,
"2011-04-08,五",1019.14,
"2011-04-11,一",1002.8,
"2011-04-12,二",1000.17,
"2011-04-13,三",1020.75,
"2011-04-14,四",1016.62,
"2011-04-15,五",1010.06,
"2011-04-18,一",1003.26,
"2011-04-19,二",994.3,
"2011-04-20,三",1008.18,
"2011-04-21,四",1010.56,
"2011-04-22,五",1004.65,
"2011-04-25,一",975.18,
"2011-04-26,二",958.29,
"2011-04-27,三",942.54,
"2011-04-28,四",904.15,
"2011-04-29,五",912.72,
"2011-05-03,二",922.07,
"2011-05-04,三",903.99,
"2011-05-05,四",914.59,
"2011-05-06,五",918.28,
"2011-05-09,一",931.77,
"2011-05-10,二",931.21,
"2011-05-11,三",929.95,
"2011-05-12,四",909.26,
"2011-05-13,五",909.77,
"2011-05-16,一",906.34,
"2011-05-17,二",895.15,
"2011-05-18,三",890.79,
"2011-05-19,四",884.89,
"2011-05-20,五",875.43,
"2011-05-23,一",840.9,
"2011-05-24,二",870.94,
"2011-05-25,三",842.35,
"2011-05-26,四",830.92,
"2011-05-27,五",822.94,
"2011-05-30,一",834.32,
"2011-05-31,二",846.32,
"2011-06-01,三",851.17,
"2011-06-02,四",833.74,
"2011-06-03,五",847.55,
"2011-06-07,二",847.71,
"2011-06-08,三",844.98,
"2011-06-09,四",828.02,
"2011-06-10,五",824.03,
"2011-06-13,一",829.36,
"2011-06-14,二",838.47,
"2011-06-15,三",827.53,
"2011-06-16,四",810.71,
"2011-06-17,五",802.64,
"2011-06-20,一",791.76,
"2011-06-21,二",795.61,
"2011-06-22,三",791.51,
"2011-06-23,四",814.44,
"2011-06-24,五",832.32,
"2011-06-27,一",843.86,
"2011-06-28,二",844.18,
"2011-06-29,三",836.38,
"2011-06-30,四",845.92,
"2011-07-01,五",855.27,
"2011-07-04,一",876.17,
"2011-07-05,二",883.42,
"2011-07-06,三",894.28,
"2011-07-07,四",899.8,
"2011-07-08,五",894.91,
"2011-07-11,一",903.31,
"2011-07-12,二",891.52,
"2011-07-13,三",913.09,
"2011-07-14,四",932.78,
"2011-07-15,五",951.14,
"2011-07-18,一",946.12,
"2011-07-19,二",927.3,
"2011-07-20,三",930.83,
"2011-07-21,四",915.37,
"2011-07-22,五",924,
"2011-07-25,一",887.06,
"2011-07-26,二",892.54,
"2011-07-27,三",915.55,
"2011-07-28,四",919.4,
"2011-07-29,五",913.28,
"2011-08-01,一",927.38,
"2011-08-02,二",932.12,
"2011-08-03,三",945.51,
"2011-08-04,四",937.48,
"2011-08-05,五",919.19,
"2011-08-08,一",877.44,
"2011-08-09,二",878.76,
"2011-08-10,三",891.75,
"2011-08-11,四",915.49,
"2011-08-12,五",926.3,
"2011-08-15,一",942.49,
"2011-08-16,二",933.14,
"2011-08-17,三",936.16,
"2011-08-18,四",915.68,
"2011-08-19,五",912.42,
"2011-08-22,一",910.61,
"2011-08-23,二",936.42,
"2011-08-24,三",940.2,
"2011-08-25,四",942.94,
"2011-08-26,五",952.81,
"2011-08-29,一",954.03,
"2011-08-30,二",934.19,
"2011-08-31,三",921.5,
"2011-09-01,四",917.75,
"2011-09-02,五",909.85,
"2011-09-05,一",883.87,
"2011-09-06,二",874.74,
