d,p,
"2014-03-07,五",1460.61,
"2014-03-10,一",1407.07,
"2014-03-11,二",1395.81,
"2014-03-12,三",1399.27,
"2014-03-13,四",1436.86,
"2014-03-14,五",1434.02,
"2014-03-17,一",1477.42,
"2014-03-18,二",1485.64,
"2014-03-19,三",1466.22,
"2014-03-20,四",1417.66,
"2014-03-21,五",1419.84,
"2014-03-24,一",1397.29,
"2014-03-25,二",1394.82,
"2014-03-26,三",1417.61,
"2014-03-27,四",1367.96,
"2014-03-28,五",1330.5,
"2014-03-31,一",1327.8,
"2014-04-01,二",1355.05,
"2014-04-02,三",1327.98,
"2014-04-03,四",1326.18,
"2014-04-04,五",1346.74,
"2014-04-08,二",1351.18,
"2014-04-09,三",1370.46,
"2014-04-10,四",1381.14,
"2014-04-11,五",1363.9,
"2014-04-14,一",1372.73,
"2014-04-15,二",1369.89,
"2014-04-16,三",1359.3,
"2014-04-17,四",1367.59,
"2014-04-18,五",1377.42,
"2014-04-21,一",1363.85,
"2014-04-22,二",1336.19,
"2014-04-23,三",1326.44,
"2014-04-24,四",1319.51,
"2014-04-25,五",1291.9,
"2014-04-28,一",1257.26,
"2014-04-29,二",1266.54,
"2014-04-30,三",1283.21,
"2014-05-05,一",1302.15,
"2014-05-06,二",1316.86,
"2014-05-07,三",1290.03,
"2014-05-08,四",1279.84,
"2014-05-09,五",1258.58,
"2014-05-12,一",1278.28,
"2014-05-13,二",1276.24,
"2014-05-14,三",1278.66,
"2014-05-15,四",1253.88,
"2014-05-16,五",1226.47,
"2014-05-19,一",1228.37,
"2014-05-20,二",1244.65,
"2014-05-21,三",1257.8,
"2014-05-22,四",1269.51,
"2014-05-23,五",1296,
"2014-05-26,一",1320.76,
"2014-05-27,二",1306.28,
"2014-05-28,三",1338.97,
"2014-05-29,四",1314.21,
"2014-05-30,五",1318.13,
"2014-06-03,二",1319.63,
"2014-06-04,三",1321.72,
"2014-06-05,四",1355.48,
"2014-06-06,五",1350.45,
"2014-06-09,一",1326.68,
"2014-06-10,二",1353.87,
"2014-06-11,三",1367.39,
"2014-06-12,四",1363.74,
"2014-06-13,五",1382.73,
"2014-06-16,一",1395.61,
"2014-06-17,二",1377.43,
"2014-06-18,三",1363.99,
"2014-06-19,四",1320.66,
"2014-06-20,五",1333.98,
"2014-06-23,一",1361.28,
"2014-06-24,二",1369.44,
"2014-06-25,三",1358.71,
"2014-06-26,四",1386.27,
"2014-06-27,五",1388.82,
"2014-06-30,一",1404.71,
"2014-07-01,二",1411.74,
"2014-07-02,三",1419.94,
"2014-07-03,四",1422.6,
"2014-07-04,五",1411.64,
"2014-07-07,一",1393.89,
"2014-07-08,二",1410.73,
"2014-07-09,三",1384.58,
"2014-07-10,四",1363.88,
"2014-07-11,五",1359.34,
"2014-07-14,一",1367.07,
"2014-07-15,二",1341.27,
"2014-07-16,三",1318.62,
"2014-07-17,四",1312.81,
"2014-07-18,五",1305.92,
"2014-07-21,一",1306.97,
"2014-07-22,二",1329.35,
"2014-07-23,三",1293.09,
"2014-07-24,四",1271.88,
"2014-07-25,五",1285.77,
"2014-07-28,一",1314.53,
"2014-07-29,二",1331.76,
"2014-07-30,三",1342.74,
"2014-07-31,四",1344.54,
"2014-08-01,五",1325.94,
"2014-08-04,一",1329.82,
"2014-08-05,二",1360.69,
"2014-08-06,三",1365.74,
"2014-08-07,四",1362.03,
"2014-08-08,五",1377.45,
"2014-08-11,一",1397.78,
"2014-08-12,二",1396.44,
"2014-08-13,三",1384.31,
"2014-08-14,四",1380.3,
"2014-08-15,五",1392.45,
"2014-08-18,一",1428.74,
"2014-08-19,二",1436.4,
"2014-08-20,三",1427.4,
"2014-08-21,四",1447.88,
"2014-08-22,五",1461.72,
"2014-08-25,一",1443.81,
"2014-08-26,二",1411.15,
"2014-08-27,三",1420.54,
"2014-08-28,四",1403.8,
"2014-08-29,五",1424.47,
"2014-09-01,一",1452.84,
"2014-09-02,二",1465.03,
"2014-09-03,三",1477.67,
"2014-09-04,四",1495.51,
"2014-09-05,五",1489.84,
"2014-09-09,二",1494.02,
"2014-09-10,三",1504.91,
"2014-09-11,四",1513.01,
"2014-09-12,五",1524.12,
"2014-09-15,一",1526.14,
"2014-09-16,二",1473.13,
"2014-09-17,三",1479.12,
"2014-09-18,四",1490.79,
"2014-09-19,五",1499.12,
"2014-09-22,一",1483.35,
"2014-09-23,二",1500.99,
"2014-09-24,三",1517.42,
"2014-09-25,四",1508.42,
"2014-09-26,五",1511.36,
"2014-09-29,一",1526.18,
"2014-09-30,二",1540.87,
"2014-10-08,三",1557.57,
"2014-10-09,四",1561.17,
"2014-10-10,五",1554.22,
"2014-10-13,一",1548.33,
"2014-10-14,二",1539.12,
"2014-10-15,三",1545.62,
"2014-10-16,四",1526.56,
"2014-10-17,五",1511.05,
"2014-10-20,一",1532.38,
"2014-10-21,二",1517.48,
"2014-10-22,三",1504.55,
"2014-10-23,四",1477.84,
"2014-10-24,五",1477.59,
"2014-10-27,一",1492.01,
"2014-10-28,二",1522.05,
"2014-10-29,三",1530.08,
"2014-10-30,四",1525.77,
"2014-10-31,五",1513.27,
"2014-11-03,一",1529.89,
"2014-11-04,二",1516.4,
"2014-11-05,三",1512.49,
"2014-11-06,四",1532.52,
"2014-11-07,五",1522.63,
"2014-11-10,一",1514.82,
"2014-11-11,二",1461.51,
"2014-11-12,三",1475.75,
"2014-11-13,四",1442.86,
"2014-11-14,五",1441.21,
"2014-11-17,一",1471.69,
"2014-11-18,二",1481.86,
"2014-11-19,三",1505.55,
"2014-11-20,四",1494.59,
"2014-11-21,五",1504.83,
"2014-11-24,一",1507.81,
"2014-11-25,二",1541.92,
"2014-11-26,三",1554.22,
"2014-11-27,四",1563.41,
"2014-11-28,五",1570.85,
"2014-12-01,一",1552.31,
"2014-12-02,二",1565.42,
"2014-12-03,三",1604.45,
"2014-12-04,四",1621.85,
"2014-12-05,五",1581.91,
"2014-12-08,一",1567.16,
"2014-12-09,二",1504.62,
"2014-12-10,三",1572.69,
"2014-12-11,四",1587.67,
"2014-12-12,五",1623.57,
"2014-12-15,一",1657.5,
"2014-12-16,二",1649.58,
"2014-12-17,三",1644.21,
"2014-12-18,四",1634.05,
"2014-12-19,五",1596.81,
"2014-12-22,一",1517.93,
"2014-12-23,二",1496.53,
"2014-12-24,三",1519.8,
"2014-12-25,四",1529.47,
"2014-12-26,五",1536.08,
"2014-12-29,一",1499.4,
"2014-12-30,二",1460.11,
"2014-12-31,三",1471.76,
"2015-01-05,一",1464.77,
"2015-01-06,二",1539.83,
"2015-01-07,三",1523.39,
"2015-01-08,四",1541.89,
"2015-01-09,五",1553.24,
"2015-01-12,一",1586.12,
"2015-01-13,二",1601.17,
"2015-01-14,三",1588.01,
"2015-01-15,四",1586.34,
"2015-01-16,五",1639.56,
"2015-01-19,一",1630.07,
"2015-01-20,二",1700.85,
"2015-01-21,三",1722.58,
"2015-01-22,四",1744.04,
"2015-01-23,五",1697.29,
"2015-01-26,一",1739.79,
"2015-01-27,二",1743.68,
"2015-01-28,三",1731.41,
"2015-01-29,四",1711.37,
"2015-01-30,五",1680.58,
"2015-02-02,一",1696.83,
"2015-02-03,二",1750.91,
"2015-02-04,三",1757.74,
"2015-02-05,四",1774.31,
"2015-02-06,五",1730.97,
"2015-02-09,一",1708.85,
"2015-02-10,二",1747.68,
"2015-02-11,三",1772.85,
"2015-02-12,四",1788.81,
"2015-02-13,五",1825.49,
"2015-02-16,一",1896.63,
"2015-02-17,二",1894.31,
"2015-02-25,三",1876.75,
"2015-02-26,四",1880.39,
"2015-02-27,五",1928.04,
"2015-03-02,一",1986.99,
"2015-03-03,二",1961.74,
"2015-03-04,三",2009.83,
"2015-03-05,四",2014.79,
"2015-03-06,五",1951.4,
"2015-03-09,一",1994.39,
"2015-03-10,二",2045.32,
"2015-03-11,三",2035.83,
"2015-03-12,四",2018.13,
"2015-03-13,五",2069.07,
"2015-03-16,一",2142.67,
"2015-03-17,二",2137.46,
"2015-03-18,三",2182.92,
"2015-03-19,四",2183.88,
"2015-03-20,五",2213.77,
"2015-03-23,一",2293.65,
"2015-03-24,二",2357.97,
"2015-03-25,三",2385.01,
"2015-03-26,四",2291.79,
"2015-03-27,五",2323.82,
"2015-03-30,一",2290.48,
"2015-03-31,二",2335.17,
"2015-04-01,三",2404.91,
"2015-04-02,四",2475.33,
"2015-04-03,五",2510.16,
"2015-04-07,二",2556.7,
"2015-04-08,三",2488.16,
"2015-04-09,四",2496.49,
"2015-04-10,五",2552.83,
"2015-04-13,一",2577.78,
"2015-04-14,二",2558.85,
"2015-04-15,三",2441.74,
"2015-04-16,四",2484.33,
"2015-04-17,五",2463.99,
"2015-04-20,一",2424.85,
"2015-04-21,二",2566.09,
"2015-04-22,三",2634.93,
"2015-04-23,四",2706.19,
"2015-04-24,五",2734.75,
"2015-04-27,一",2747.5,
"2015-04-28,二",2687.97,
"2015-04-29,三",2797.52,
"2015-04-30,四",2857.89,
"2015-05-04,一",2845.25,
"2015-05-05,二",2783.44,
"2015-05-06,三",2846.56,
"2015-05-07,四",2806.05,
"2015-05-08,五",2973.6,
"2015-05-11,一",3146.83,
"2015-05-12,二",3250.3,
"2015-05-13,三",3192.15,
"2015-05-14,四",3141.59,
"2015-05-15,五",3145.34,
"2015-05-18,一",3278.48,
"2015-05-19,二",3322.77,
"2015-05-20,三",3406.28,
"2015-05-21,四",3527.41,
"2015-05-22,五",3516.63,
"2015-05-25,一",3467.92,
"2015-05-26,二",3618.23,
"2015-05-27,三",3628.67,
"2015-05-28,四",3432.98,
"2015-05-29,五",3542.84,
"2015-06-01,一",3718.75,
"2015-06-02,二",3901.54,
"2015-06-03,三",3982.25,
"2015-06-04,四",3943.47,
"2015-06-05,五",3885.83,
"2015-06-08,一",3704.55,
"2015-06-09,二",3705.54,
"2015-06-10,三",3834.7,
"2015-06-11,四",3862.14,
"2015-06-12,五",3899.71,
"2015-06-15,一",3696.03,
"2015-06-16,二",3590.67,
"2015-06-17,三",3741.36,
"2015-06-18,四",3504.55,
"2015-06-19,五",3314.98,
"2015-06-23,二",3393.94,
"2015-06-24,三",3383.4,
"2015-06-25,四",3206.38,
"2015-06-26,五",2920.7,
"2015-06-29,一",2689.76,
"2015-06-30,二",2858.61,
"2015-07-01,三",2759.41,
"2015-07-02,四",2649.32,
"2015-07-03,五",2605.28,
"2015-07-06,一",2493.83,
"2015-07-07,二",2352.01,
"2015-07-08,三",2364.05,
"2015-07-09,四",2435.76,
"2015-07-10,五",2535.89,
"2015-07-13,一",2683.07,
"2015-07-14,二",2726.05,
"2015-07-15,三",2590.03,
"2015-07-16,四",2627.08,
"2015-07-17,五",2783.32,
"2015-07-20,一",2848.3,
"2015-07-21,二",2882.9,
"2015-07-22,三",2897.37,
"2015-07-23,四",2967.95,
"2015-07-24,五",2897.82,
"2015-07-27,一",2683.45,
"2015-07-28,二",2581.96,
"2015-07-29,三",2693.87,
"2015-07-30,四",2561.19,
"2015-07-31,五",2539.84,
"2015-08-03,一",2399.27,
"2015-08-04,二",2546.16,
"2015-08-05,三",2502.04,
"2015-08-06,四",2480.93,
"2015-08-07,五",2576.99,
"2015-08-10,一",2706.72,
"2015-08-11,二",2698.91,
"2015-08-12,三",2622.19,
"2015-08-13,四",2684.26,
"2015-08-14,五",2674.02,
"2015-08-17,一",2666.29,
"2015-08-18,二",2504.17,
"2015-08-19,三",2570.69,
"2015-08-20,四",2508.82,
"2015-08-21,五",2341.95,
"2015-08-24,一",2152.61,
"2015-08-25,二",1990.71,
"2015-08-26,三",1890.04,
"2015-08-27,四",1959.49,
"2015-08-28,五",2082.12,
"2015-08-31,一",1996.87,
"2015-09-01,二",1889.49,
"2015-09-02,三",1855.03,
"2015-09-07,一",1893.52,
"2015-09-08,二",2001.16,
"2015-09-09,三",2071.72,
"2015-09-10,四",2039.12,
"2015-09-11,五",2060.51,
"2015-09-14,一",1906.21,
"2015-09-15,二",1797.56,
"2015-09-16,三",1926.24,
"2015-09-17,四",1933.3,
"2015-09-18,五",1983.3,
"2015-09-21,一",2079.06,
"2015-09-22,二",2078.72,
"2015-09-23,三",2077.99,
"2015-09-24,四",2106.59,
"2015-09-25,五",2020.97,
"2015-09-28,一",2122.26,
"2015-09-29,二",2098.57,
"2015-09-30,三",2082.67,
"2015-10-08,四",2190.31,
"2015-10-09,五",2216.66,
"2015-10-12,一",2316.78,
"2015-10-13,二",2342.04,
"2015-10-14,三",2305,
"2015-10-15,四",2404.53,
"2015-10-16,五",2449.03,
"2015-10-19,一",2433.6,
"2015-10-20,二",2511.16,
"2015-10-21,三",2344.74,
"2015-10-22,四",2458.14,
"2015-10-23,五",2538.38,
"2015-10-26,一",2527.48,
"2015-10-27,二",2563.96,
"2015-10-28,三",2485.24,
"2015-10-29,四",2485.28,
"2015-10-30,五",2478.28,
"2015-11-02,一",2432.04,
"2015-11-03,二",2429.27,
"2015-11-04,三",2584.32,
"2015-11-05,四",2564.72,
"2015-11-06,五",2661.41,
"2015-11-09,一",2724.62,
"2015-11-10,二",2746.61,
"2015-11-11,三",2804.68,
"2015-11-12,四",2783.3,
"2015-11-13,五",2710.16,
"2015-11-16,一",2797.16,
"2015-11-17,二",2717.05,
"2015-11-18,三",2661.17,
"2015-11-19,四",2770.75,
"2015-11-20,五",2800.15,
"2015-11-23,一",2770.58,
"2015-11-24,二",2816.05,
"2015-11-25,三",2897.57,
"2015-11-26,四",2833.2,
"2015-11-27,五",2649.55,
"2015-11-30,一",2672.58,
"2015-12-01,二",2655.35,
"2015-12-02,三",2613.26,
"2015-12-03,四",2708.12,
"2015-12-04,五",2692.16,
"2015-12-07,一",2738.15,
"2015-12-08,二",2691.66,
"2015-12-09,三",2667.91,
"2015-12-10,四",2695.51,
"2015-12-11,五",2671.29,
"2015-12-14,一",2709.27,
"2015-12-15,二",2745.7,
"2015-12-16,三",2763.11,
"2015-12-17,四",2835.7,
"2015-12-18,五",2830.26,
"2015-12-21,一",2829.92,
"2015-12-22,二",2839.85,
"2015-12-23,三",2783.94,
"2015-12-24,四",2795.78,
"2015-12-25,五",2794.73,
"2015-12-28,一",2735.49,
"2015-12-29,二",2749.82,
"2015-12-30,三",2779.51,
"2015-12-31,四",2714.05,
"2016-01-04,一",2491.24,
"2016-01-05,二",2416.73,
"2016-01-06,三",2468.37,
"2016-01-07,四",2256.52,
"2016-01-08,五",2248.99,
"2016-01-11,一",2106.36,
"2016-01-12,二",2147.53,
"2016-01-13,三",2059.78,
"2016-01-14,四",2175.01,
"2016-01-15,五",2112.9,
"2016-01-18,一",2174.94,
"2016-01-19,二",2241.7,
"2016-01-20,三",2204.65,
"2016-01-21,四",2112.4,
"2016-01-22,五",2149.59,
"2016-01-25,一",2158.83,
"2016-01-26,二",1994.05,
"2016-01-27,三",1997.47,
"2016-01-28,四",1906.46,
"2016-01-29,五",1994.07,
"2016-02-01,一",1992.7,
"2016-02-02,二",2075.29,
"2016-02-03,三",2090.51,
"2016-02-04,四",2126.64,
"2016-02-05,五",2096.99,
"2016-02-15,一",2116.84,
"2016-02-16,二",2201.93,
"2016-02-17,三",2215.34,
"2016-02-18,四",2190.91,
"2016-02-19,五",2211.01,
"2016-02-22,一",2245.56,
"2016-02-23,二",2218.12,
"2016-02-24,三",2203.74,
"2016-02-25,四",2037.14,
"2016-02-26,五",2014.92,
"2016-02-29,一",1880.15,
"2016-03-01,二",1934.92,
"2016-03-02,三",2017.61,
"2016-03-03,四",2007.08,
"2016-03-04,五",1907.04,
"2016-03-07,一",1953.33,
"2016-03-08,二",2002.19,
"2016-03-09,三",1970.81,
"2016-03-10,四",1936.97,
"2016-03-11,五",1934.87,
"2016-03-14,一",2023.13,
"2016-03-15,二",1996.92,
"2016-03-16,三",1977.54,
"2016-03-17,四",2087.29,
"2016-03-18,五",2177.87,
"2016-03-21,一",2227.04,
"2016-03-22,二",2221.7,
"2016-03-23,三",2259.11,
"2016-03-24,四",2219.77,
"2016-03-25,五",2216.09,
"2016-03-28,一",2199.69,
"2016-03-29,二",2152.55,
"2016-03-30,三",2248.78,
"2016-03-31,四",2238.29,
"2016-04-01,五",2205.37,
"2016-04-05,二",2279.52,
"2016-04-06,三",2297.04,
"2016-04-07,四",2248.69,
"2016-04-08,五",2229.94,
"2016-04-11,一",2283.14,
"2016-04-12,二",2264.02,
"2016-04-13,三",2294.02,
"2016-04-14,四",2324.4,
"2016-04-15,五",2309.68,
"2016-04-18,一",2265.59,
"2016-04-19,二",2272.52,
"2016-04-20,三",2145.24,
"2016-04-21,四",2110.16,
"2016-04-22,五",2136.92,
"2016-04-25,一",2126.83,
"2016-04-26,二",2155.7,
"2016-04-27,三",2146.61,
"2016-04-28,四",2155.23,
"2016-04-29,五",2138.74,
"2016-05-03,二",2217.23,
"2016-05-04,三",2211.02,
"2016-05-05,四",2224.1,
"2016-05-06,五",2129.19,
"2016-05-09,一",2053.6,
"2016-05-10,二",2054.22,
"2016-05-11,三",2034.93,
"2016-05-12,四",2034.57,
"2016-05-13,五",2025.22,
"2016-05-16,一",2057.86,
"2016-05-17,二",2081.44,
"2016-05-18,三",2020.48,
"2016-05-19,四",2037.4,
"2016-05-20,五",2065.3,
"2016-05-23,一",2098.23,
"2016-05-24,二",2075.51,
"2016-05-25,三",2067.25,
"2016-05-26,四",2086.01,
"2016-05-27,五",2069.89,
"2016-05-30,一",2058.52,
"2016-05-31,二",2159.8,
"2016-06-01,三",2168.82,
"2016-06-02,四",2188.56,
"2016-06-03,五",2204.97,
"2016-06-06,一",2199.3,
"2016-06-07,二",2196.73,
"2016-06-08,三",2186.54,
"2016-06-13,一",2054.71,
"2016-06-14,二",2058.31,
"2016-06-15,三",2128.8,
"2016-06-16,四",2101.42,
"2016-06-17,五",2122.89,
"2016-06-20,一",2119.63,
"2016-06-21,二",2092,
"2016-06-22,三",2144.82,
"2016-06-23,四",2137.49,
"2016-06-24,五",2127.36,
"2016-06-27,一",2191.81,
"2016-06-28,二",2216.71,
"2016-06-29,三",2209.79,
"2016-06-30,四",2227.79,
"2016-07-01,五",2211.18,
"2016-07-04,一",2248.71,
"2016-07-05,二",2246.02,
"2016-07-06,三",2241.56,
"2016-07-07,四",2233.92,
"2016-07-08,五",2239,
"2016-07-11,一",2218.59,
"2016-07-12,二",2247.35,
"2016-07-13,三",2285.37,
"2016-07-14,四",2293.08,
"2016-07-15,五",2263.78,
"2016-07-18,一",2249.87,
"2016-07-19,二",2273.72,
"2016-07-20,三",2268.54,
"2016-07-21,四",2265.13,
"2016-07-22,五",2250,
"2016-07-25,一",2245.89,
"2016-07-26,二",2279.55,
"2016-07-27,三",2155.39,
"2016-07-28,四",2139.74,
"2016-07-29,五",2122.41,
"2016-08-01,一",2099.18,
"2016-08-02,二",2113.21,
"2016-08-03,三",2108.31,
"2016-08-04,四",2129.65,
"2016-08-05,五",2109.06,
"2016-08-08,一",2130.59,
"2016-08-09,二",2154.51,
"2016-08-10,三",2137,
"2016-08-11,四",2103.4,
"2016-08-12,五",2123.84,
"2016-08-15,一",2193.21,
"2016-08-16,二",2201.1,
"2016-08-17,三",2208.2,
"2016-08-18,四",2201.59,
"2016-08-19,五",2204.56,
"2016-08-22,一",2167.4,
"2016-08-23,二",2174.16,
"2016-08-24,三",2192.17,
"2016-08-25,四",2180.66,
"2016-08-26,五",2189.75,
"2016-08-29,一",2193.2,
"2016-08-30,二",2195.53,
"2016-08-31,三",2191.76,
"2016-09-01,四",2181.33,
"2016-09-02,五",2170.86,
"2016-09-05,一",2182.69,
"2016-09-06,二",2222.84,
"2016-09-07,三",2212.05,
"2016-09-08,四",2223.47,
"2016-09-09,五",2202.97,
"2016-09-12,一",2145.56,
"2016-09-13,二",2145.87,
"2016-09-14,三",2144.56,
"2016-09-19,一",2165.21,
"2016-09-20,二",2158.43,
"2016-09-21,三",2162.13,
"2016-09-22,四",2168.42,
"2016-09-23,五",2156.51,
"2016-09-26,一",2122.9,
"2016-09-27,二",2140.8,
"2016-09-28,三",2139.63,
"2016-09-29,四",2146.18,
"2016-09-30,五",2149.9,
"2016-10-10,一",2208.47,
"2016-10-11,二",2210.86,
"2016-10-12,三",2209.69,
"2016-10-13,四",2208.57,
"2016-10-14,五",2194.23,
"2016-10-17,一",2167.86,
"2016-10-18,二",2198.14,
"2016-10-19,三",2184.91,
"2016-10-20,四",2193.26,
"2016-10-21,五",2181,
"2016-10-24,一",2200.8,
"2016-10-25,二",2200.21,
"2016-10-26,三",2184.49,
"2016-10-27,四",2182.48,
"2016-10-28,五",2165.43,
"2016-10-31,一",2159.76,
"2016-11-01,二",2176.45,
"2016-11-02,三",2146.4,
"2016-11-03,四",2153.18,
"2016-11-04,五",2145.23,
"2016-11-07,一",2130.3,
"2016-11-08,二",2150.3,
"2016-11-09,三",2123.84,
"2016-11-10,四",2143.32,
"2016-11-11,五",2147.11,
"2016-11-14,一",2161.69,
"2016-11-15,二",2179.3,
"2016-11-16,三",2182.47,
"2016-11-17,四",2163.04,
"2016-11-18,五",2157.96,
"2016-11-21,一",2152.6,
"2016-11-22,二",2177.65,
"2016-11-23,三",2165.71,
"2016-11-24,四",2146.63,
"2016-11-25,五",2167.53,
"2016-11-28,一",2166.05,
"2016-11-29,二",2160.35,
"2016-11-30,三",2183.05,
"2016-12-01,四",2181.93,
"2016-12-02,五",2143.45,
"2016-12-05,一",2143.88,
"2016-12-06,二",2122.26,
"2016-12-07,三",2134.99,
"2016-12-08,四",2114.71,
"2016-12-09,五",2099.89,
"2016-12-12,一",1984.39,
"2016-12-13,二",1985.04,
"2016-12-14,三",1963.08,
"2016-12-15,四",1975.85,
"2016-12-16,五",1998.11,
"2016-12-19,一",1980.41,
"2016-12-20,二",1982.3,
"2016-12-21,三",1991.7,
"2016-12-22,四",1986.27,
"2016-12-23,五",1964.54,
"2016-12-26,一",1974.01,
"2016-12-27,二",1968.62,
"2016-12-28,三",1957.15,
"2016-12-29,四",1959.24,
"2016-12-30,五",1962.06,
"2017-01-03,二",1963.26,
"2017-01-04,三",1991.57,
"2017-01-05,四",1983.97,
"2017-01-06,五",1965.03,
"2017-01-09,一",1961.62,
"2017-01-10,二",1951.68,
"2017-01-11,三",1937.55,
"2017-01-12,四",1930.14,
"2017-01-13,五",1899.94,
"2017-01-16,一",1830.85,
"2017-01-17,二",1867.87,
"2017-01-18,三",1845.79,
"2017-01-19,四",1844.14,
"2017-01-20,五",1880.75,
"2017-01-23,一",1887.32,
"2017-01-24,二",1861.22,
"2017-01-25,三",1870.7,
"2017-01-26,四",1886.23,
"2017-02-03,五",1876.76,
"2017-02-06,一",1900.45,
"2017-02-07,二",1889.13,
"2017-02-08,三",1903.63,
"2017-02-09,四",1914.08,
"2017-02-10,五",1904.68,
"2017-02-13,一",1913.68,
"2017-02-14,二",1909.4,
"2017-02-15,三",1892.36,
"2017-02-16,四",1897.63,
"2017-02-17,五",1882.87,
"2017-02-20,一",1894.96,
"2017-02-21,二",1921.08,
"2017-02-22,三",1919.97,
"2017-02-23,四",1925.95,
"2017-02-24,五",1938.44,
"2017-02-27,一",1926.77,
"2017-02-28,二",1927.16,
"2017-03-01,三",1931.97,
"2017-03-02,四",1920.4,
"2017-03-03,五",1928.29,
"2017-03-06,一",1962.77,
"2017-03-07,二",1977.85,
"2017-03-08,三",1964.63,
"2017-03-09,四",1953.94,
"2017-03-10,五",1950.01,
"2017-03-13,一",1970.88,
"2017-03-14,二",1958.02,
"2017-03-15,三",1957.82,
"2017-03-16,四",1966.73,
"2017-03-17,五",1949.66,
"2017-03-20,一",1953.82,
"2017-03-21,二",1961.06,
"2017-03-22,三",1948.58,
"2017-03-23,四",1948.37,
"2017-03-24,五",1965.14,
"2017-03-27,一",1947.53,
"2017-03-28,二",1944.36,
"2017-03-29,三",1929.2,
"2017-03-30,四",1893.7,
"2017-03-31,五",1907.34,
"2017-04-05,三",1942.77,
,,
